author_sort                                                                                                , authors                                                                                              , timestamp                  , formats          , isbn           , pubdate                       , publisher                        , series                               , series_index, tags                                                          , title                                                                                                                                                                                       , title_sort
"Whelan, Helen"                                                                                            , "Helen Whelan"                                                                                       , "2025-01-11T14:20:26+01:00", "pdf"            , ""             , "0101-01-01T00:09:21+00:09:21", "apigee"                         , ""                                   , "1.0"       , "pdf, programming, api"                                       , "OAuth - The Big Picture"                                                                                                                                                                   , "OAuth - The Big Picture"
"Loope, James"                                                                                             , "James Loope"                                                                                        , "2013-12-23T13:19:51+01:00", "pdf"            , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , ""                                                            , "Managing Infrastructure with Puppet"                                                                                                                                                       , "Managing Infrastructure with Puppet"
"loudon, kyle"                                                                                             , "kyle loudon"                                                                                        , "2025-01-11T14:20:26+01:00", "pdf"            , ""             , "2010-03-01T00:00:00+01:00"   , "O'Reilly Media"                 , "oreilly"                            , "0.0"       , "oreilly, pdf, tech, web app"                                 , "developing large web applications, 1st edition"                                                                                                                                            , "developing large web applications, 1st edition"
"burke, bill"                                                                                              , "bill burke"                                                                                         , "2025-01-11T14:20:26+01:00", "pdf"            , ""             , "2009-11-01T00:00:00+01:00"   , "O'Reilly Media"                 , "oreilly"                            , "0.0"       , "oreilly, pdf, tech, rest, webservice, java"                  , "restful java with jax-rs, 1st edition"                                                                                                                                                     , "restful java with jax-rs, 1st edition"
"webber, jim"                                                                                              , "jim webber"                                                                                         , "2025-01-11T14:20:26+01:00", "pdf"            , ""             , "2010-09-01T00:00:00+02:00"   , "O'Reilly Media"                 , "oreilly"                            , "0.0"       , "pdf, oreilly, tech, rest, webservice"                        , "rest in practice, 1st edition"                                                                                                                                                             , "rest in practice, 1st edition"
"Tom Mochal, Jeff Mochal"                                                                                  , "Tom Mochal, Jeff Mochal"                                                                            , "2013-12-23T13:22:33+01:00", "pdf"            , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , "Apress"                                                      , "Lessons in Project Management"                                                                                                                                                             , "Lessons in Project Management"
"monson-haefel, richard"                                                                                   , "richard monson-haefel"                                                                              , "2025-01-11T14:20:26+01:00", "pdf"            , ""             , "2009-02-25T00:00:00+01:00"   , "oreilly"                        , ""                                   , "1.0"       , ""                                                            , "97 things every software architect should know, 1st edition"                                                                                                                               , "97 things every software architect should know, 1st edition"
"soul, their & secrets"                                                                                    , "their soul & secrets"                                                                               , "2013-12-23T13:23:39+01:00", "pdf"            , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , ""                                                            , "leica M-lenses"                                                                                                                                                                            , "leica M-lenses"
"George T. Heineman, Gary Pollice & Selkow, Stanley"                                                       , "George T. Heineman, Gary Pollice & Stanley Selkow"                                                  , "2013-12-23T13:23:44+01:00", "pdf"            , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , ""                                                            , "Algorithms in a Nutshell"                                                                                                                                                                  , "Algorithms in a Nutshell"
"Date, C. J."                                                                                              , "C. J. Date"                                                                                         , "2013-12-23T13:24:06+01:00", "pdf"            , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , ""                                                            , "SQL and Relational Theory"                                                                                                                                                                 , "SQL and Relational Theory"
"McGrath, Michael P."                                                                                      , "Michael P. McGrath"                                                                                 , "2025-01-11T14:20:27+01:00", "pdf"            , ""             , "2012-01-12T00:00:00+01:00"   , "O'Reilly Media"                 , ""                                   , "1.0"       , "pdf, programming"                                            , "Understanding PaaS"                                                                                                                                                                        , "Understanding PaaS"
"COMEX"                                                                                                    , "COMEX"                                                                                              , "2025-01-11T14:20:27+01:00", "pdf"            , ""             , "2010-07-01T00:00:00+02:00"   , "COMEX"                          , "COMEX Magazine"                     , "8.0"       , "comex, pdf, magazine"                                        , "COMEX Magazine 8"                                                                                                                                                                          , "COMEX Magazine 8"
"henney, kevlin"                                                                                           , "kevlin henney"                                                                                      , "2025-01-11T14:20:27+01:00", "pdf"            , ""             , "2010-02-25T00:00:00+01:00"   , "oreilly"                        , ""                                   , "1.0"       , "coding, pdf"                                                 , "97 things every programmer should know, 1st edition"                                                                                                                                       , "97 things every programmer should know, 1st edition"
"COMEX"                                                                                                    , "COMEX"                                                                                              , "2025-01-11T14:20:27+01:00", "pdf"            , ""             , "2008-10-01T00:00:00+02:00"   , "COMEX"                          , "COMEX Magazine"                     , "3.0"       , "comex, pdf, magazine"                                        , "COMEX Magazine 3"                                                                                                                                                                          , "COMEX Magazine 3"
"Date, C. J."                                                                                              , "C. J. Date"                                                                                         , "2013-12-23T13:25:34+01:00", "pdf"            , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , ""                                                            , "Database Design and Relational Theory: Normal Forms and All That Jazz"                                                                                                                     , "Database Design and Relational Theory: Normal Forms and All That Jazz"
"COMEX"                                                                                                    , "COMEX"                                                                                              , "2025-01-11T14:20:27+01:00", "pdf"            , ""             , "2011-01-01T00:00:00+01:00"   , "COMEX"                          , "COMEX Magazine"                     , "9.0"       , "comex, pdf, magazine"                                        , "COMEX Magazine 9"                                                                                                                                                                          , "COMEX Magazine 9"
"Boyd, Ryan"                                                                                               , "Ryan Boyd"                                                                                          , "2025-01-11T14:20:27+01:00", "pdf"            , ""             , "2012-02-17T00:00:00+01:00"   , "O'Reilly Media"                 , ""                                   , "1.0"       , "pdf, programming, api"                                       , "Getting Started with OAuth 2.0"                                                                                                                                                            , "Getting Started with OAuth 2.0"
"COMEX"                                                                                                    , "COMEX"                                                                                              , "2025-01-11T14:20:27+01:00", "pdf"            , ""             , "2009-07-01T00:00:00+02:00"   , "COMEX"                          , "COMEX Magazine"                     , "6.0"       , "comex, pdf, magazine"                                        , "COMEX Magazine 6"                                                                                                                                                                          , "COMEX Magazine 6"
"massé, mark"                                                                                              , "mark massé"                                                                                         , "2025-01-11T14:20:27+01:00", "pdf"            , ""             , "2011-10-01T00:00:00+02:00"   , "O'Reilly Media"                 , "oreilly"                            , "0.0"       , "oreilly, pdf, tech, rest, webservice"                        , "rest api design rulebook, 1st edition"                                                                                                                                                     , "rest api design rulebook, 1st edition"
"nsa"                                                                                                      , "nsa"                                                                                                , "2025-01-11T14:20:27+01:00", "pdf"            , ""             , "2007-02-01T00:00:00+01:00"   , "nsa"                            , ""                                   , "1.0"       , "pdf"                                                         , "untangling the web"                                                                                                                                                                        , "untangling the web"
"kalin, martin"                                                                                            , "martin kalin"                                                                                       , "2025-01-11T14:20:27+01:00", "pdf"            , ""             , "2013-08-01T00:00:00+02:00"   , "O'Reilly Media"                 , "oreilly"                            , "0.0"       , "oreilly, pdf, tech, rest, webservice, java"                  , "java web services: up and running, 2nd edition"                                                                                                                                            , "java web services: up and running, 2nd edition"
"COMEX"                                                                                                    , "COMEX"                                                                                              , "2025-01-11T14:20:27+01:00", "pdf"            , ""             , "2009-01-01T00:00:00+01:00"   , "COMEX"                          , "COMEX Magazine"                     , "4.0"       , "comex, pdf, magazine"                                        , "COMEX Magazine 4"                                                                                                                                                                          , "COMEX Magazine 4"
"sepulchre, jean-marie"                                                                                    , "jean-marie sepulchre"                                                                               , "2025-01-11T14:20:27+01:00", "pdf"            , ""             , "0101-01-01T00:09:21+00:09:21", "eyrolles"                       , ""                                   , "1.0"       , "pdf"                                                         , "le sony nex-7"                                                                                                                                                                             , "le sony nex-7"
